publication_id	publication	time	time_slice_id	type	subfield_id	subdomain_id
140	CARROLL_1970_P_283	1970	0	ARTICLE	3	1
141	CHRISMAN_1970_C_245	1970	0	ARTICLE	1	3
142	DAVIS_1970_A_843	1970	0	ARTICLE	2	2
143	HOLLAND_1970_A_492	1970	0	ARTICLE	2	2
144	JACOBSON_1970_C_281	1970	0	ARTICLE	3	3
145	KATZ_1970_G_20	1970	0	ARTICLE	1	4
146	KORTE_1970_J_101	1970	0	ARTICLE	2	1
147	TOOMEY_1970_U_259	1970	0	ARTICLE	1	3
148	HICKSON_1971_A_216	1971	0	ARTICLE	1	0
149	HOLLAND_1971_C_107	1971	0	ARTICLE	2	2
150	RAND_1971_J_846	1971	0	ARTICLE	3	2
151	SCHELLIN_1971_J_143	1971	0	ARTICLE	2	-1
152	TOOMEY_1971_H_417	1971	0	ARTICLE	4	4
153	TRIVERS_1971_Q_35	1971	0	ARTICLE	2	3
154	ALCHIAN_1972_A_777	1972	0	ARTICLE	1	0
155	ANDERSON_1972_S_393	1972	0	ARTICLE	1	-1
156	BONACICH_1972_J_113	1972	0	ARTICLE	4	2
157	BOOTH_1972_A_183	1972	0	ARTICLE	4	4
158	BROWN_1972_B_241	1972	0	ARTICLE	4	4
159	CHILD_1972_S_1	1972	0	ARTICLE	1	0
160	COHEN_1972_A_1	1972	0	ARTICLE	1	0
161	COX_1972_J_187	1972	0	ARTICLE	4	4
162	CROOG_1972_J_32	1972	0	ARTICLE	1	4
163	DRISCOLL_1972_J_1	1972	0	ARTICLE	4	2
164	GARFIELD_1972_S_471	1972	0	ARTICLE	3	1
165	GREINER_1972_H_37	1972	0	ARTICLE	1	-1
166	HIRSCH_1972_A_639	1972	0	ARTICLE	1	0
167	LEMON_1972_J_511	1972	0	ARTICLE	4	4
168	LEVINE_1972_A_14	1972	0	ARTICLE	4	2
169	LIU_1972_P_361	1972	0	ARTICLE	1	0
170	NARIN_1972_J_323	1972	0	ARTICLE	2	1
171	NUCKOLLS_1972_A_431	1972	0	ARTICLE	4	4
172	PFEFFER_1972_A_218	1972	0	ARTICLE	1	0
173	RICHARDS_1972_E_883	1972	0	ARTICLE	1	0
174	SADE_1972_F_196	1972	0	ARTICLE	3	2
175	STRAUSS_1972_A_739	1972	0	ARTICLE	4	4
176	ALBA_1973_J_113	1973	0	ARTICLE	2	2
177	ANDERSEN_1973_M_95	1973	0	ARTICLE	4	4
178	BERNARD_1973_S_127	1973	0	ARTICLE	3	2
179	BONACICH_1973_A_583	1973	0	ARTICLE	1	3
180	BOORMAN_1973_P_187	1973	0	ARTICLE	2	1
181	BRON_1973_C_575	1973	0	ARTICLE	2	2
182	CARPENTE_1973_J_425	1973	0	ARTICLE	2	1
183	CLIFFORD_1973_B_581	1973	0	ARTICLE	2	-1
184	COOMBS_1973_J_96	1973	0	ARTICLE	1	3
185	CRAVEN_1973_S_57	1973	0	ARTICLE	1	3
186	CURTIS_1973_S_53	1973	0	ARTICLE	1	0
187	EISINGER_1973_A_11	1973	0	ARTICLE	4	0
188	FIEDLER_1973_C_298	1973	0	ARTICLE	2	2
189	GRANOVET_1973_A_1360	1973	0	ARTICLE	1	2
190	HART_1973_J_61	1973	0	ARTICLE	1	2
191	HOLLAND_1973_J_85	1973	0	ARTICLE	1	2
192	LAUMANN_1973_A_212	1973	0	ARTICLE	0	0
193	LEWIS_1973_S_409	1973	0	ARTICLE	1	3
194	MCKINLAY_1973_S_275	1973	0	ARTICLE	4	4
195	RITTEL_1973_P_155	1973	0	ARTICLE	1	-1
196	SCHELLIN_1973_J_381	1973	0	ARTICLE	2	2
197	SHEINGOL_1973_A_712	1973	0	ARTICLE	1	0
198	SMALL_1973_J_265	1973	0	ARTICLE	4	1
199	SMITH_1973_N_15	1973	0	ARTICLE	1	2
200	SPENCE_1973_Q_355	1973	0	ARTICLE	2	-1
201	STUTZ_1973_E_134	1973	0	ARTICLE	1	3
202	THOMPSON_1973_J_244	1973	0	ARTICLE	1	2
203	TVERSKY_1973_C_207	1973	0	ARTICLE	2	3
204	AKAIKE_1974_IEEE_716	1974	0	CHAPTER	2	0
205	ALTMANN_1974_B_227	1974	0	ARTICLE	2	1
206	BESAG_1974_J_192	1974	0	ARTICLE	0	1
207	BREIGER_1974_S_181	1974	0	ARTICLE	4	2
208	BRIM_1974_J_432	1974	0	ARTICLE	4	4
209	CASSEL_1974_I_471	1974	0	ARTICLE	1	4
210	COLLINS_1974_C_331	1974	0	ARTICLE	1	3
211	CURTIS_1974_A_1517	1974	0	ARTICLE	1	3
212	DEGROOT_1974_J_118	1974	0	ARTICLE	2	1
213	DEROGATI_1974_B_1	1974	0	ARTICLE	4	4
214	DOREIAN_1974_J_245	1974	0	ARTICLE	2	2
215	FINIFTER_1974_A_607	1974	0	ARTICLE	4	4
216	KASARDA_1974_A_328	1974	0	ARTICLE	1	3
217	MCCROSKE_1974_S_261	1974	0	ARTICLE	4	3
218	MITCHELL_1974_A_279	1974	0	ARTICLE	4	4
219	MOXLEY_1974_S_122	1974	0	ARTICLE	3	2
220	NIEMINEN_1974_S_332	1974	0	ARTICLE	2	2
221	ROHLFS_1974_B_16	1974	0	ARTICLE	1	-1
222	SACKS_1974_L_696	1974	0	ARTICLE	1	3
223	SMALL_1974_S_17	1974	0	ARTICLE	2	1
224	SMITH_1974_A_725	1974	0	ARTICLE	3	3
225	SNYDER_1974_J_526	1974	0	ARTICLE	2	3
226	TERRENOI_1974_A_210	1974	0	ARTICLE	1	3
227	TVERSKY_1974_S_1124	1974	0	ARTICLE	2	3
228	ZEITLIN_1974_A_1073	1974	0	ARTICLE	4	0
229	ALBA_1975_S_289	1975	0	ARTICLE	1	3
230	BAGOZZI_1975_J_32	1975	0	ARTICLE	1	0
231	BENSON_1975_A_229	1975	0	ARTICLE	1	0
232	BESAG_1975_S_179	1975	0	ARTICLE	2	2
233	BOORMAN_1975_B_216	1975	0	ARTICLE	2	0
234	BREIGER_1975_J_328	1975	0	ARTICLE	3	2
235	BROWN_1975_S_225	1975	0	ARTICLE	4	4
236	COLLINS_1975_P_407	1975	0	ARTICLE	1	0
237	DOWD_1975_J_584	1975	0	ARTICLE	1	4
238	FELLING_1975_S_1	1975	0	ARTICLE	4	0
239	FISCHER_1975_A_1319	1975	0	ARTICLE	1	3
240	FOLSTEIN_1975_J_189	1975	0	ARTICLE	3	-1
241	GINSBERG_1975_J_668	1975	0	ARTICLE	4	3
242	GREELEY_1975_A_711	1975	0	ARTICLE	1	3
243	HOLLEY_1975_A_643	1975	0	ARTICLE	0	1
244	JOHANSON_1975_J_305	1975	0	ARTICLE	1	0
245	KAHLER_1975_Z_283	1975	0	ARTICLE	4	4
246	LAWTON_1975_J_85	1975	0	ARTICLE	4	4
247	PATTISON_1975_A_1246	1975	0	ARTICLE	2	4
248	PFEIFFER_1975_J_433	1975	0	ARTICLE	4	4
249	SALTON_1975_C_613	1975	0	ARTICLE	0	-1
250	SHULMAN_1975_J_813	1975	0	ARTICLE	4	4
251	WALDROP_1975_C_19	1975	0	ARTICLE	4	4
252	ALBA_1976_S_77	1976	0	ARTICLE	4	2
253	ARLING_1976_J_757	1976	0	ARTICLE	4	4
254	BOORMAN_1976_A_1384	1976	0	ARTICLE	3	2
255	BURSTEIN_1976_S_833	1976	0	ARTICLE	1	3
256	BURT_1976_S_93	1976	0	ARTICLE	1	2
257	CASSEL_1976_A_107	1976	0	ARTICLE	4	4
258	COBB_1976_P_300	1976	0	ARTICLE	4	4
259	COYNE_1976_J_186	1976	0	ARTICLE	4	4
260	ELVEBACK_1976_A_152	1976	0	ARTICLE	2	-1
261	EMERSON_1976_A_335	1976	0	ARTICLE	1	0
262	FINLAYSO_1976_S_97	1976	0	ARTICLE	4	4
263	GRANOVET_1976_A_1287	1976	0	ARTICLE	1	2
264	HENDRIX_1976_J_97	1976	0	ARTICLE	1	4
265	HINDE_1976_M_1	1976	0	ARTICLE	4	1
266	HUBERT_1976_B_190	1976	0	ARTICLE	1	2
267	JENSEN_1976_J_305	1976	0	ARTICLE	1	0
268	KATZ_1976_I_493	1976	0	ARTICLE	4	4
269	KILLWORT_1976_H_269	1976	0	ARTICLE	3	2
270	MEDALIE_1976_A_910	1976	0	ARTICLE	4	4
271	MILLER_1976_S_51	1976	0	ARTICLE	4	4
272	NAGI_1976_M_439	1976	0	ARTICLE	4	4
273	PEAY_1976_J_319	1976	0	ARTICLE	2	0
274	PETROWSK_1976_J_749	1976	0	ARTICLE	4	4
275	PFEFFER_1976_A_398	1976	0	ARTICLE	1	0
276	PINSKI_1976_I_297	1976	0	ARTICLE	1	1
277	POWERS_1976_J_739	1976	0	ARTICLE	4	4
278	PRICE_1976_J_292	1976	0	ARTICLE	1	1
279	RABKIN_1976_S_1013	1976	0	ARTICLE	4	4
280	RITCHEY_1976_A_363	1976	0	ARTICLE	1	2
281	SHULMAN_1976_A_307	1976	0	ARTICLE	3	4
282	SPANIER_1976_J_15	1976	0	ARTICLE	4	4
283	TOLSDORF_1976_F_407	1976	0	ARTICLE	4	4
284	ULLMANN_1976_J_31	1976	0	ARTICLE	2	1
285	VANDEVEN_1976_A_322	1976	0	ARTICLE	1	0
286	VAUGHN_1976_B_125	1976	0	ARTICLE	4	4
287	WEICK_1976_A_1	1976	0	ARTICLE	1	0
288	WHITE_1976_A_730	1976	0	ARTICLE	1	2
